 ,1,5,2020-01-02,1
 ,2,10,2020-02-05,2
 ,3,15,2020-03-10,1
 ,4,20,2020-04-13,2
 ,5,25,2020-05-17,1
 ,6,30,2020-06-20,2
 ,7,35,2020-07-24,1
 ,8,40,2020-08-27,2
 ,9,45,2020-09-30,1
 ,10,50,2020-11-03,2
 ,11,5,2020-12-07,1
 ,12,10,2020-10-10,2
 ,13,15,2020-01-03,1
 ,14,20,2020-02-05,2
 ,15,25,2020-03-09,1
 ,16,30,2020-04-11,2
 ,17,35,2020-05-14,1
 ,18,40,2020-06-16,2
 ,19,45,2020-07-19,1
 ,20,50,2020-08-21,2
 ,21,5,2020-09-23,1
 ,22,10,2020-10-26,2
 ,23,15,2020-11-28,1
 ,24,20,2020-12-31,2
 ,25,25,2020-11-28,1
 ,26,30,2020-12-31,2
 ,27,35,2020-01-03,1
 ,28,40,2020-02-05,2
 ,29,45,2020-03-09,1
 ,30,50,2020-04-11,2
 ,31,5,2020-05-14,1
 ,32,10,2020-06-16,2
 ,33,15,2020-07-19,1
 ,34,20,2020-08-21,2
 ,35,25,2020-09-23,1
 ,36,30,2020-10-26,2
 ,37,35,2020-11-28,1
 ,38,40,2020-12-31,2
 ,39,45,2020-11-28,1
 ,40,50,2020-12-31,2
 ,41,5,2020-01-03,1
 ,42,10,2020-02-05,2
 ,43,15,2020-03-09,1
 ,44,20,2020-04-11,2
 ,45,25,2020-05-14,1
 ,46,30,2020-06-16,2
 ,47,35,2020-07-19,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
